character,defination
丒,<big><font color='#f00'>chǒu</font></big><font face='AR UDJingxihei'><br>• variant of 醜|丑[chǒu]<br></font>
且,<big><font color='#f00'>qiě</font></big><font face='AR UDJingxihei'><br>• and<br>• moreover<br>• yet<br>• for the time being<br>• to be about to<br>• both (... and...)<br></font>
丕,<big><font color='#f00'>pī</font></big><font face='AR UDJingxihei'><br>• grand<br></font>
世,<big><font color='#f00'>Shì</font></big><font face='AR UDJingxihei'><br>• surname Shi<br></font>
世,<big><font color='#f00'>shì</font></big><font face='AR UDJingxihei'><br>• life<br>• age<br>• generation<br>• era<br>• world<br>• lifetime<br>• epoch<br>• descendant<br>• noble<br></font>
丗,<big><font color='#f00'>shì</font></big><font face='AR UDJingxihei'><br>• archaic variant of 世[shì]<br></font>
丘,<big><font color='#f00'>Qiū</font></big><font face='AR UDJingxihei'><br>• surname Qiu<br></font>
丘,<big><font color='#f00'>qiū</font></big><font face='AR UDJingxihei'><br>• mound<br>• hillock<br>• grave<br>• classifier for fields<br></font>
丙,<big><font color='#f00'>bǐng</font></big><font face='AR UDJingxihei'><br>• third of the ten Heavenly Stems 十天干[shí tiān gān]<br>• third in order<br>• letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc<br>• ancient Chinese compass point: 165°<br>• propyl<br></font>
丞,<big><font color='#f00'>chéng</font></big><font face='AR UDJingxihei'><br>• deputy<br></font>
丟,<big><font color='#f00'>diū</font></big><font face='AR UDJingxihei'><br>• to lose<br>• to put aside<br>• to throw<br></font>
丠,<big><font color='#f00'>qiū</font></big><font face='AR UDJingxihei'><br>• old variant of 丘[qiū]<br></font>
両,<big><font color='#f00'>liǎng</font></big><font face='AR UDJingxihei'><br>• Japanese variant of 兩|两<br></font>
丣,<big><font color='#f00'>yǒu</font></big><font face='AR UDJingxihei'><br>• old variant of 酉[yǒu]<br></font>
並,<big><font color='#f00'>bìng</font></big><font face='AR UDJingxihei'><br>• and<br>• furthermore<br>• also<br>• together with<br>• (not) at all<br>• simultaneously<br>• to combine<br>• to join<br>• to merge<br></font>
丨,<big><font color='#f00'>gǔn</font></big><font face='AR UDJingxihei'><br>• radical in Chinese characters (Kangxi radical 2)<br></font>
丨,<big><font color='#f00'>shù</font></big><font face='AR UDJingxihei'><br>• see 豎筆|竖笔[shù bǐ]<br></font>
丩,<big><font color='#f00'>jiū</font></big><font face='AR UDJingxihei'><br>• archaic variant of 糾|纠[jiū]<br></font>
